speaker_id,utterance_id,split,path,sample_rate,duration_s
5808,5808-48608-0028,dev,data/clean/dev/5808-48608-0028.flac,16000,15.945
5808,5808-48608-0017,dev,data/clean/dev/5808-48608-0017.flac,16000,11.88
5808,5808-54425-0033,dev,data/clean/dev/5808-54425-0033.flac,16000,4.86
1743,1743-142912-0013,dev,data/clean/dev/1743-142912-0013.flac,16000,12.235
1743,1743-142914-0018,dev,data/clean/dev/1743-142914-0018.flac,16000,11.39
1743,1743-142914-0026,dev,data/clean/dev/1743-142914-0026.flac,16000,15.6
1098,1098-133695-0069,dev,data/clean/dev/1098-133695-0069.flac,16000,14.665
1098,1098-133695-0011,dev,data/clean/dev/1098-133695-0011.flac,16000,3.295
1098,1098-133695-0075,dev,data/clean/dev/1098-133695-0075.flac,16000,13.245
6848,6848-252323-0022,dev,data/clean/dev/6848-252323-0022.flac,16000,15.75
6848,6848-252322-0004,dev,data/clean/dev/6848-252322-0004.flac,16000,13.205
6848,6848-252322-0003,dev,data/clean/dev/6848-252322-0003.flac,16000,14.51
2893,2893-139310-0011,dev,data/clean/dev/2893-139310-0011.flac,16000,15.95
2893,2893-139310-0027,dev,data/clean/dev/2893-139310-0027.flac,16000,16.425
2893,2893-139310-0029,dev,data/clean/dev/2893-139310-0029.flac,16000,5.525
26,26-495-0064,dev,data/clean/dev/26-495-0064.flac,16000,14.52
26,26-495-0077,dev,data/clean/dev/26-495-0077.flac,16000,16.455
26,26-495-0003,dev,data/clean/dev/26-495-0003.flac,16000,9.035
8230,8230-279154-0037,test,data/clean/test/8230-279154-0037.flac,16000,20.535
8230,8230-279154-0017,test,data/clean/test/8230-279154-0017.flac,16000,7.93
8230,8230-279154-0000,test,data/clean/test/8230-279154-0000.flac,16000,8.805
2830,2830-3980-0007,test,data/clean/test/2830-3980-0007.flac,16000,10.19
2830,2830-3980-0076,test,data/clean/test/2830-3980-0076.flac,16000,4.81
2830,2830-3980-0041,test,data/clean/test/2830-3980-0041.flac,16000,4.89
8224,8224-274384-0003,test,data/clean/test/8224-274384-0003.flac,16000,3.87
8224,8224-274381-0017,test,data/clean/test/8224-274381-0017.flac,16000,17.825
8224,8224-274381-0009,test,data/clean/test/8224-274381-0009.flac,16000,28.41
61,61-70968-0027,test,data/clean/test/61-70968-0027.flac,16000,6.87
61,61-70970-0034,test,data/clean/test/61-70970-0034.flac,16000,4.485
61,61-70968-0043,test,data/clean/test/61-70968-0043.flac,16000,6.735
3570,3570-5694-0006,test,data/clean/test/3570-5694-0006.flac,16000,14.505
3570,3570-5694-0005,test,data/clean/test/3570-5694-0005.flac,16000,8.405
3570,3570-5695-0001,test,data/clean/test/3570-5695-0001.flac,16000,14.715
6829,6829-68769-0012,test,data/clean/test/6829-68769-0012.flac,16000,4.295
6829,6829-68769-0045,test,data/clean/test/6829-68769-0045.flac,16000,2.135
6829,6829-68769-0044,test,data/clean/test/6829-68769-0044.flac,16000,3.225
