room_id,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings,listening_notes
P01_mild_near,baseline,,,0.9926925600148719,18.421361910067823,,False,False,,
P01_mild_near,C1,2.0,10.0,0.9486069840426797,7.940297530920151,1.148,False,False,,
P01_mild_near,C2,2.0,20.0,0.9432782155445468,6.853141303802164,2.05,False,False,,
P01_mild_near,C3,2.0,30.0,0.940054164841804,6.372730669084524,7.921,False,False,,
P01_mild_near,C4,3.0,10.0,0.9683254123332408,11.052876138515765,1.246,False,False,,
P01_mild_near,C5,3.0,20.0,0.9654225251970269,10.7922421926258,2.259,False,False,,
P01_mild_near,C6,3.0,30.0,0.9637548472661556,10.572943957922899,5.574,False,False,,
P01_mild_near,C7,4.0,10.0,0.9807725253821207,14.015366818140622,1.223,False,False,,
P01_mild_near,C8,4.0,20.0,0.9784369548331685,13.216715354695477,2.406,False,False,,
P01_mild_near,C9,4.0,30.0,0.9775157923275167,13.024715092258962,6.311,False,False,,
P02_moderate_near,baseline,,,0.9038123882827591,6.169898286059402,,False,False,,
P02_moderate_near,C1,2.0,10.0,0.8112851500455561,2.4728394709930273,1.318,False,False,,
P02_moderate_near,C2,2.0,20.0,0.8167305415930254,2.3870460232309427,2.413,False,False,,
P02_moderate_near,C3,2.0,30.0,0.8229249514297778,2.4508482645133993,6.197,False,False,,
P02_moderate_near,C4,3.0,10.0,0.8701157111257191,5.3217527851019755,1.303,False,False,,
P02_moderate_near,C5,3.0,20.0,0.8559978486853884,4.496462932163256,2.536,False,False,,
P02_moderate_near,C6,3.0,30.0,0.8584293633840195,4.453409311252241,5.467,False,False,,
P02_moderate_near,C7,4.0,10.0,0.9016462088164983,7.301988832102559,1.245,False,False,,
P02_moderate_near,C8,4.0,20.0,0.9062822551759779,7.306415731256511,2.362,False,False,,
P02_moderate_near,C9,4.0,30.0,0.9044719045757909,7.161928742847881,6.738,False,False,,
P03_strong_far,baseline,,,0.8112648334304988,2.1126209015351893,,False,False,,
P03_strong_far,C1,2.0,10.0,0.8661371476738857,3.6473110050116144,1.339,False,False,,
P03_strong_far,C2,2.0,20.0,0.8098773490324419,2.615408483260536,2.392,False,False,,
P03_strong_far,C3,2.0,30.0,0.750248386797809,0.6196858868797885,5.842,False,False,,
P03_strong_far,C4,3.0,10.0,0.9028192666964083,5.0654477587701425,1.321,False,False,,
P03_strong_far,C5,3.0,20.0,0.8500707530651901,4.373875719419356,2.412,False,False,,
P03_strong_far,C6,3.0,30.0,0.8448214634089595,4.362097776196855,5.684,False,False,,
P03_strong_far,C7,4.0,10.0,0.915833137650038,5.830555096005523,1.27,False,False,,
P03_strong_far,C8,4.0,20.0,0.9203781157752964,6.965676020031301,2.456,False,False,,
P03_strong_far,C9,4.0,30.0,0.9122237481966234,7.785996852126776,6.628,False,False,,
