config_id,rt60_target,distance_m,cell_stoi_improvement
C1,0.2,1.0,-0.0367565495860784
C1,0.2,2.5,-0.05210387759275187
C1,0.4,1.0,-0.031726950855379195
C1,0.4,2.5,-0.03139310067662966
C1,0.6,1.0,0.030174788000908784
C1,0.6,2.5,0.04553041721424914
C2,0.2,1.0,-0.039553029550891745
C2,0.2,2.5,-0.059810149142212256
C2,0.4,1.0,-0.043364720263858215
C2,0.4,2.5,-0.03932797313775196
C2,0.6,1.0,0.0010119320190290122
C2,0.6,2.5,0.009702281612319036
C3,0.2,1.0,-0.04059206730696125
C3,0.2,2.5,-0.06149937081843627
C3,0.4,1.0,-0.03823233896108845
C3,0.4,2.5,-0.04125597038064897
C3,0.6,1.0,-0.007646087054004773
C3,0.6,2.5,-0.001586010737410528
C4,0.2,1.0,-0.021366881338518214
C4,0.2,2.5,-0.027075867691471092
C4,0.4,1.0,-0.007399503227579091
C4,0.4,2.5,0.012352797773583793
C4,0.6,1.0,0.04628651240448529
C4,0.6,2.5,0.06811313765393166
C5,0.2,1.0,-0.023505488166716545
C5,0.2,2.5,-0.03266354959569232
C5,0.4,1.0,-0.01314727901511376
C5,0.4,2.5,-0.0014812525583036233
C5,0.6,1.0,0.028029181700209193
C5,0.6,2.5,0.04301705545871548
C6,0.2,1.0,-0.024339379012198067
C6,0.2,2.5,-0.03497788117196373
C6,0.4,1.0,-0.011427007735857739
C6,0.4,2.5,-0.00258849253960917
C6,0.6,1.0,0.023882553605348324
C6,0.6,2.5,0.036060734250087476
C7,0.2,1.0,-0.009540093804910882
C7,0.2,2.5,-0.011250688355535226
C7,0.4,1.0,0.013492365700120834
C7,0.4,2.5,0.03474451522043865
C7,0.6,1.0,0.057754168694843455
C7,0.6,2.5,0.08330326212569189
C8,0.2,1.0,-0.01094834266472268
C8,0.2,2.5,-0.014373762979894908
C8,0.4,1.0,0.012499364518901454
C8,0.4,2.5,0.030747028047602615
C8,0.6,1.0,0.05262616557652494
C8,0.6,2.5,0.07586351129458191
C9,0.2,1.0,-0.011667085442349226
C9,0.2,2.5,-0.01549146471643493
C9,0.4,1.0,0.014184814338188722
C9,0.4,2.5,0.030641828831480946
C9,0.6,1.0,0.051280411341170284
C9,0.6,2.5,0.07533382996875845
