room_id,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
M_rt0.2_d2.5_rep0,0.2,0.2090781791317235,2.5,0,303,clean,8230-279154-0037,C4,3.0,10.0,,,2.201,False,True,
M_rt0.2_d2.5_rep0,0.2,0.2090781791317235,2.5,0,303,10dB,8224-274384-0003,C7,4.0,10.0,,,0.478,False,True,
M_rt0.2_d2.5_rep0,0.2,0.2090781791317235,2.5,0,303,10dB,8224-274384-0003,C8,4.0,20.0,,,1.029,False,True,
M_rt0.2_d2.5_rep0,0.2,0.2090781791317235,2.5,0,303,10dB,8224-274384-0003,C9,4.0,30.0,,,4.345,False,True,
M_rt0.2_d2.5_rep1,0.2,0.2090781791317235,2.5,1,304,clean,8230-279154-0037,C4,3.0,10.0,,,2.208,False,True,
M_rt0.4_d2.5_rep0,0.4,0.4974459036090039,2.5,0,307,clean,8230-279154-0037,C1,2.0,10.0,,,2.289,False,True,
M_rt0.4_d2.5_rep1,0.4,0.4974459036090039,2.5,1,308,clean,8230-279154-0037,C1,2.0,10.0,,,2.497,False,True,
M_rt0.6_d1.0_rep0,0.6,0.779538204293136,1.0,0,309,clean,61-70968-0027,C7,4.0,10.0,,,0.833,False,True,
M_rt0.6_d1.0_rep1,0.6,0.779538204293136,1.0,1,310,clean,61-70968-0027,C7,4.0,10.0,,,0.826,False,True,
M_rt0.6_d2.5_rep0,0.6,0.7866607223866862,2.5,0,311,clean,6829-68769-0012,C2,2.0,20.0,,,1.211,False,True,
M_rt0.6_d2.5_rep1,0.6,0.7866607223866862,2.5,1,312,clean,6829-68769-0012,C2,2.0,20.0,,,1.198,False,True,
