room_id,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,baseline,,,0.9950952637459234,19.998861103790734,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C1,2,10,0.9515504817253977,7.404398790702476,1.927,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C2,2,20,0.9464504133903177,6.559152279319578,4.453,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C3,2,30,0.9452237748544824,6.317697542485597,7.885,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C4,3,10,0.9733179244596961,11.945752991902767,1.92,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C5,3,20,0.9694563932621054,11.404378036797532,3.837,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C6,3,30,0.9680280852547366,11.108549205758319,9.671,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C7,4,10,0.9868212758495531,15.269797353421863,2.035,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C8,4,20,0.9851770873602779,14.758091756678605,3.945,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8230-279154-0037,C9,4,30,0.9842813103559256,14.474013394509274,9.003,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,baseline,,,0.993036585482167,18.473929155611444,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C1,2,10,0.9434613054750536,7.528569426316832,1.027,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C2,2,20,0.9388789042858812,6.985348430677881,2.248,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C3,2,30,0.9366981020247391,6.73595789562738,6.736,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C4,3,10,0.9664604765794126,10.361731899422534,1.109,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C5,3,20,0.9624997682339497,9.999957546462836,2.07,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C6,3,30,0.9622037998619015,9.91319826061506,5.77,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C7,4,10,0.9796384474750969,14.031262946109331,1.037,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C8,4,20,0.9782151155430417,13.423159954009813,1.927,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,2830-3980-0007,C9,4,30,0.9773024361278664,13.049371789166722,5.714,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,baseline,,,0.9969251799116542,21.613105593881503,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C1,2,10,0.9502474680359937,7.4208844263804155,0.441,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C2,2,20,0.9462267748658009,5.57044800545314,0.898,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C3,2,30,0.9426965066127894,5.006733145175416,4.18,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C4,3,10,0.9662086165022526,11.36475200872262,0.461,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C5,3,20,0.9642395937819292,10.461523373975632,0.931,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C6,3,30,0.9625796947808393,10.161295170159597,3.718,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C7,4,10,0.984402684280116,15.15699518321328,0.456,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C8,4,20,0.9804723658215823,13.694582231261945,0.934,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,8224-274384-0003,C9,4,30,0.9781246022019726,13.21693121639068,3.792,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,baseline,,,0.9946226722791454,19.1406346526539,,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C1,2,10,0.9441791567537762,6.489728419380093,0.697,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C2,2,20,0.9378788477058938,5.653561605222908,1.442,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C3,2,30,0.9354836342851927,5.428758207783769,5.391,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C4,3,10,0.9707302058936715,10.567307257812002,0.772,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C5,3,20,0.9631408968600901,9.660677262065256,1.453,False,False,
M_rt0.2_d1.0_rep0,0.2,0.2058831460991553,1.0,0,301,clean,61-70968-0027,C6,3,30,0.961532338952531,9.36028067026926,4.836,False,False,
