room_id,geometry,rt60_target,rt60_achieved,distance_m,replicate,seed,snr_condition,utterance,config_id,delay,taps,stoi,si_sdr_db,runtime_s,numerical_failure,signal_failure,warnings
H_G-C_rt0.2_d1.0_rep1,G-C,0.2,0.1968042131491474,1.0,1,402,10dB,8224-274384-0003,C7,4.0,10.0,,,0.514,False,True,
H_G-C_rt0.2_d1.0_rep1,G-C,0.2,0.1968042131491474,1.0,1,402,10dB,8224-274384-0003,C8,4.0,20.0,,,1.009,False,True,
H_G-C_rt0.2_d1.0_rep1,G-C,0.2,0.1968042131491474,1.0,1,402,10dB,8224-274384-0003,C9,4.0,30.0,,,5.422,False,True,
H_G-C_rt0.2_d2.5_rep1,G-C,0.2,0.2057490960772737,2.5,1,404,10dB,61-70968-0027,C8,4.0,20.0,,,1.498,False,True,
H_G-C_rt0.4_d2.5_rep0,G-C,0.4,0.5137071478400766,2.5,0,407,clean,8224-274384-0003,C1,2.0,10.0,,,0.518,False,True,
H_G-C_rt0.4_d2.5_rep0,G-C,0.4,0.5137071478400766,2.5,0,407,clean,6829-68769-0012,C7,4.0,10.0,,,0.553,False,True,
H_G-C_rt0.4_d2.5_rep1,G-C,0.4,0.5137071478400766,2.5,1,408,clean,8224-274384-0003,C1,2.0,10.0,,,0.514,False,True,
H_G-C_rt0.4_d2.5_rep1,G-C,0.4,0.5137071478400766,2.5,1,408,clean,6829-68769-0012,C7,4.0,10.0,,,0.554,False,True,
H_G-C_rt0.6_d1.0_rep1,G-C,0.6,0.7985214759851369,1.0,1,410,10dB,3570-5694-0006,C8,4.0,20.0,,,3.463,False,True,
H_G-D_rt0.4_d2.5_rep0,G-D,0.4,0.629225837177328,2.5,0,419,clean,8224-274384-0003,C7,4.0,10.0,,,0.549,False,True,
H_G-D_rt0.4_d2.5_rep1,G-D,0.4,0.629225837177328,2.5,1,420,clean,8224-274384-0003,C7,4.0,10.0,,,0.6,False,True,
H_G-D_rt0.6_d2.5_rep0,G-D,0.6,1.0402490995600977,2.5,0,423,clean,6829-68769-0012,C2,2.0,20.0,,,1.643,False,True,
H_G-D_rt0.6_d2.5_rep1,G-D,0.6,1.0402490995600977,2.5,1,424,clean,6829-68769-0012,C2,2.0,20.0,,,1.384,False,True,
